亜,亜
哀,哀
挨,挨
愛,爱
曖,暧
悪,悪
握,握
圧,圧
扱,扱
宛,宛
嵐,岚
安,安
案,案
暗,暗
以,以
衣,衣
位,位
囲,囲
医,医
依,依
委,委
威,威
為,为
畏,畏
胃,胃
尉,尉
異,异
移,移
萎,萎
偉,伟
椅,椅
彙,汇
意,意
違,违
維,维
慰,慰
遺,遗
緯,纬
域,域
育,育
一,一
壱,壱
逸,逸
茨,茨
芋,芋
引,引
印,印
因,因
咽,咽
姻,姻
員,员
院,院
淫,淫
陰,阴
飲,饮
隠,隠
韻,韵
右,右
宇,宇
羽,羽
雨,雨
唄,呗
鬱,郁
畝,亩
浦,浦
運,运
雲,云
永,永
泳,泳
英,英
映,映
栄,栄
営,営
詠,咏
影,影
鋭,鋭
衛,卫
易,易
疫,疫
益,益
液,液
駅,駅
悦,悦
越,越
謁,谒
閲,阅
円,円
延,延
沿,沿
炎,炎
怨,怨
宴,宴
媛,媛
援,援
園,园
煙,烟
猿,猿
遠,远
鉛,铅
塩,塩
演,演
縁,縁
艶,艶
汚,污
王,王
凹,凹
央,央
応,応
往,往
押,押
旺,旺
欧,欧
殴,殴
桜,桜
翁,翁
奥,奥
横,横
岡,冈
屋,屋
億,亿
憶,忆
臆,臆
虞,虞
乙,乙
俺,俺
卸,卸
音,音
恩,恩
温,温
穏,穏
下,下
化,化
火,火
加,加
可,可
仮,仮
何,何
花,花
佳,佳
価,価
果,果
河,河
苛,苛
科,科
架,架
夏,夏
家,家
荷,荷
華,华
菓,果
貨,货
渦,涡
過,过
嫁,嫁
暇,暇
禍,祸
靴,靴
寡,寡
歌,歌
箇,箇
稼,稼
課,课
蚊,蚊
牙,牙
瓦,瓦
我,我
画,画
芽,芽
賀,贺
雅,雅
餓,饿
介,介
回,回
灰,灰
会,会
快,快
戒,戒
改,改
怪,怪
拐,拐
悔,悔
海,海
界,界
皆,皆
械,械
絵,絵
開,开
階,阶
塊,块
楷,楷
解,解
潰,溃
壊,壊
懐,懐
諧,谐
貝,贝
外,外
劾,劾
害,害
崖,崖
涯,涯
街,街
慨,慨
蓋,盖
該,该
概,概
骸,骸
垣,垣
柿,柿
各,各
角,角
拡,拡
革,革
格,格
核,核
殻,壳
郭,郭
覚,覚
較,较
隔,隔
閣,阁
確,确
