愛,爱
曖,暧
嵐,岚
為,为
異,异
偉,伟
彙,汇
違,违
維,维
遺,遗
緯,纬
員,员
陰,阴
飲,饮
韻,韵
唄,呗
鬱,郁
畝,亩
運,运
雲,云
詠,咏
衛,卫
謁,谒
閲,阅
園,园
煙,烟
遠,远
鉛,铅
汚,污
岡,冈
億,亿
憶,忆
華,华
菓,果
貨,货
渦,涡
過,过
禍,祸
課,课
賀,贺
餓,饿
開,开
階,阶
塊,块
潰,溃
諧,谐
貝,贝
蓋,盖
該,该
殻,壳
較,较
閣,阁
確,确
獲,获
嚇,吓
穫,获
額,额
顎,颚
掛,挂
潟,泻
轄,辖
鎌,镰
乾,干
貫,贯
喚,唤
換,换
間,间
閑,闲
幹,干
漢,汉
慣,惯
関,关
監,监
緩,缓
還,还
館,馆
環,环
簡,简
韓,韩
艦,舰
鑑,鉴
頑,顽
顔,颜
願,愿
紀,纪
軌,轨
記,记
飢,饥
規,规
幾,几
揮,挥
貴,贵
棄,弃
毀,毁
輝,辉
機,机
騎,骑
偽,伪
義,义
儀,仪
戯,戏
擬,拟
議,议
喫,吃
詰,诘
級,级
糾,纠
宮,宫
給,给
窮,穷
許,许
魚,鱼
漁,渔
協,协
況,况
脅,胁
強,强
橋,桥
矯,矫
鏡,镜
競,竞
響,响
驚,惊
業,业
極,极
僅,仅
緊,紧
錦,锦
謹,谨
銀,银
繰,缲
訓,训
軍,军
係,系
計,计
啓,启
傾,倾
詣,诣
慶,庆
鯨,鲸
劇,剧
決,决
結,结
傑,杰
潔,洁
見,见
軒,轩
堅,坚
絹,绢
憲,宪
賢,贤
謙,谦
鍵,键
繭,茧
懸,悬
現,现
減,减
個,个
庫,库
誇,夸
錮,锢
顧,顾
後,后
語,语
誤,误
護,护
効,效
紅,红
貢,贡
絞,绞
項,项
溝,沟
構,构
綱,纲
興,兴
鋼,钢
講,讲
購,购
剛,刚
穀,谷
獄,狱
駒,驹
頃,顷
紺,绀
墾,垦
懇,恳
査,查
詐,诈
鎖,锁
災,灾
採,采
細,细
債,债
載,载
際,际
財,财
柵,栅
搾,榨
錯,错
冊,册
殺,杀
産,产
傘,伞
賛,赞
斬,斩
暫,暂
姉,姊
師,师
紙,纸
視,视
詞,词
試,试
詩,诗
資,资
飼,饲
誌,志
摯,挚
賜,赐
諮,咨
時,时
餌,饵
璽,玺
識,识
軸,轴
執,执
質,质
車,车
捨,舍
謝,谢
腫,肿
種,种
樹,树
収,收
終,终
習,习
週,周
衆,众
醜,丑
襲,袭
銃,铳
縮,缩
術,术
純,纯
順,顺
準,准
潤,润
処,处
書,书
緒,绪
諸,诸
昇,升
紹,绍
訟,讼
勝,胜
粧,妆
詔,诏
証,证
傷,伤
詳,详
衝,冲
賞,赏
償,偿
鐘,钟
乗,乘
浄,净
場,场
錠,锭
飾,饰
織,织
職,职
針,针
紳,绅
進,进
診,诊
審,审
親,亲
陣,阵
尋,寻
腎,肾
須,须
帥,帅
勢,势
聖,圣
誠,诚
製,制
請,请
隻,只
責,责
跡,迹
積,积
績,绩
設,设
節,节
説,说
絶,绝
羨,羡
詮,诠
箋,笺
線,线
遷,迁
選,选
薦,荐
鮮,鲜
漸,渐
繕,缮
組,组
訴,诉
礎,础
倉,仓
挿,插
掃,扫
創,创
喪,丧
層,层
贈,赠
則,则
側,侧
測,测
賊,贼
孫,孙
損,损
遜,逊
貸,贷
隊,队
態,态
題,题
託,托
諾,诺
濁,浊
達,达
奪,夺
誰,谁
嘆,叹
綻,绽
誕,诞
鍛,锻
談,谈
壇,坛
恥,耻
緻,致
築,筑
沖,冲
駐,驻
著,着
貯,贮
弔,吊
長,长
帳,帐
張,张
彫,雕
釣,钓
頂,顶
鳥,鸟
貼,贴
腸,肠
調,调
懲,惩
勅,敕
沈,沉
陳,陈
賃,赁
鎮,镇
墜,坠
塚,冢
漬,渍
鶴,鹤
貞,贞
訂,订
偵,侦
締,缔
諦,谛
適,适
敵,敌
徹,彻
電,电
妬,妒
塗,涂
賭,赌
東,东
凍,冻
島,岛
討,讨
棟,栋
湯,汤
統,统
頭,头
謄,誊
騰,腾
動,动
銅,铜
導,导
篤,笃
頓,顿
貪,贪
鈍,钝
曇,昙
謎,谜
鍋,锅
軟,软
難,难
認,认
寧,宁
熱,热
納,纳
農,农
濃,浓
覇,霸
馬,马
罵,骂
敗,败
輩,辈
買,买
賠,赔
剝,剥
縛,缚
鉢,钵
罰,罚
閥,阀
氾,泛
汎,泛
販,贩
飯,饭
煩,烦
頒,颁
範,范
盤,盘
飛,飞
費,费
罷,罢
備,备
筆,笔
氷,冰
評,评
標,标
貧,贫
賓,宾
頻,频
訃,讣
負,负
婦,妇
膚,肤
賦,赋
譜,谱
風,风
復,复
複,复
紛,纷
雰,氛
噴,喷
墳,坟
憤,愤
奮,奋
聞,闻
併,并
並,并
閉,闭
幣,币
餅,饼
別,别
編,编
補,补
舗,铺
倣,仿
砲,炮
訪,访
報,报
飽,饱
縫,缝
紡,纺
貿,贸
謀,谋
頰,颊
僕,仆
撲,扑
脈,脉
務,务
無,无
夢,梦
霧,雾
銘,铭
鳴,鸣
滅,灭
綿,绵
網,网
門,门
紋,纹
問,问
約,约
躍,跃
闇,暗
諭,谕
輸,输
癒,愈
郵,邮
湧,涌
猶,犹
遊,游
誘,诱
憂,忧
優,优
預,预
揚,扬
葉,叶
陽,阳
瘍,疡
窯,窑
養,养
擁,拥
羅,罗
絡,络
濫,滥
藍,蓝
欄,栏
裏,里
離,离
陸,陆
慄,栗
侶,侣
虜,虏
慮,虑
涼,凉
領,领
療,疗
瞭,了
糧,粮
緑,绿
倫,伦
輪,轮
隣,邻
臨,临
類,类
鈴,铃
隷,隶
麗,丽
連,连
練,练
呂,吕
賂,赂
籠,笼
録,录
論,论
話,话
賄,贿
脇,胁
