亞,亚
惡,恶
壓,压
圍,围
醫,医
爲,为
壹,壹
逸,逸
隱,隐
榮,荣
營,营
衞,卫
驛,驿
謁,謁
圓,圆
鹽,盐
緣,缘
艷,艳
應,应
歐,欧
毆,殴
櫻,樱
奧,奥
橫,横
溫,温
穩,稳
假,假
價,价
禍,禍
畫,画
會,会
悔,悔
海,海
繪,绘
壞,坏
懷,怀
慨,慨
槪,槪
擴,扩
殼,壳
覺,觉
學,学
嶽,岳
樂,乐
喝,喝
渴,渴
褐,褐
罐,罐
卷,卷
陷,陷
勸,劝
寬,宽
漢,漢
關,关
歡,欢
觀,观
氣,气
祈,祈
既,既
歸,归
龜,龟
器,器
僞,伪
戲,戏
犧,牺
舊,旧
據,据
擧,举
虛,虚
峽,峡
挾,挟
狹,狭
鄕,鄕
響,響
曉,晓
勤,勤
謹,謹
區,区
驅,驱
勳,勋
薰,薰
徑,径
莖,茎
惠,惠
揭,揭
溪,溪
經,经
螢,萤
輕,轻
繼,继
鷄,鸡
藝,艺
擊,击
缺,缺
硏,硏
縣,县
儉,俭
劍,剑
險,险
圈,圈
檢,检
獻,献
權,权
顯,显
驗,验
嚴,严
廣,广
效,效
恆,恒
黃,黄
鑛,矿
號,号
國,国
黑,黑
穀,穀
碎,碎
濟,济
齋,斋
劑,剂
殺,殺
雜,杂
參,参
棧,栈
蠶,蚕
慘,惨
贊,赞
殘,残
絲,丝
祉,祉
視,視
齒,齿
兒,儿
辭,辞
濕,湿
實,实
寫,写
社,社
舍,舍
者,者
煮,煮
釋,释
壽,寿
收,收
臭,臭
從,从
澁,澁
獸,兽
縱,纵
祝,祝
肅,肃
處,处
暑,暑
署,署
緖,绪
諸,諸
敍,叙
將,将
祥,祥
稱,称
涉,涉
燒,烧
證,证
奬,奖
條,条
狀,状
乘,乘
淨,净
剩,剩
疊,叠
繩,绳
壤,壤
孃,娘
讓,让
釀,酿
觸,触
囑,嘱
神,神
眞,眞
寢,寝
愼,愼
盡,尽
圖,图
粹,粹
醉,醉
穗,穗
隨,随
髓,髓
樞,枢
數,数
瀨,濑
聲,声
齊,齐
靜,静
竊,窃
攝,摄
節,節
絕,绝
專,专
淺,浅
戰,战
踐,践
錢,钱
潛,潜
纖,纤
禪,禅
祖,祖
雙,双
壯,壮
爭,争
莊,庄
搜,搜
插,插
巢,巢
曾,曾
瘦,瘦
裝,装
僧,僧
層,層
總,总
騷,骚
增,增
憎,憎
藏,藏
贈,贈
臟,脏
卽,卽
屬,属
續,续
墮,堕
對,对
體,体
帶,带
滯,滞
臺,台
瀧,泷
擇,择
澤,泽
擔,担
單,单
膽,胆
嘆,嘆
團,团
斷,断
彈,弹
遲,迟
癡,痴
蟲,虫
晝,昼
鑄,铸
著,著
廳,厅
徵,征
聽,听
懲,懲
敕,敕
鎭,鎭
塚,塚
遞,递
鐵,铁
點,点
轉,转
傳,传
都,都
燈,灯
當,当
黨,党
盜,盗
稻,稻
鬭,鬭
德,德
獨,独
讀,读
突,突
屆,届
難,難
貳,贰
惱,恼
腦,脑
霸,霸
拜,拜
廢,废
賣,卖
梅,梅
麥,麦
發,发
髮,发
拔,拔
繁,繁
晚,晚
蠻,蛮
卑,卑
祕,秘
碑,碑
濱,滨
賓,賓
頻,頻
敏,敏
甁,甁
侮,侮
福,福
拂,拂
佛,佛
倂,倂
竝,并
塀,塀
餠,餠
邊,边
變,变
辨,辨
瓣,瓣
辯,辩
勉,勉
步,步
寶,宝
豐,丰
襃,襃
墨,墨
沒,没
飜,飜
每,每
萬,万
滿,满
免,免
麵,面
默,默
彌,弥
譯,译
藥,药
與,与
豫,豫
餘,余
譽,誉
搖,摇
樣,样
謠,谣
來,来
賴,赖
亂,乱
覽,览
欄,欄
龍,龙
隆,隆
虜,虜
兩,两
獵,猎
綠,绿
淚,泪
壘,垒
類,類
禮,礼
勵,励
戾,戾
靈,灵
齡,龄
曆,历
歷,历
戀,恋
練,練
鍊,链
爐,炉
勞,劳
郞,郞
朗,朗
廊,廊
樓,楼
錄,录
灣,湾
