亞,亚
惡,恶
壓,压
圍,围
醫,医
爲,为
隱,隐
榮,荣
營,营
衞,卫
驛,驿
圓,圆
鹽,盐
緣,缘
艷,艳
應,应
歐,欧
毆,殴
櫻,樱
奧,奥
橫,横
溫,温
穩,稳
價,价
畫,画
會,会
繪,绘
壞,坏
懷,怀
擴,扩
殼,壳
覺,觉
學,学
嶽,岳
樂,乐
勸,劝
寬,宽
關,关
歡,欢
觀,观
氣,气
歸,归
龜,龟
僞,伪
戲,戏
犧,牺
舊,旧
據,据
擧,举
虛,虚
峽,峡
挾,挟
狹,狭
曉,晓
區,区
驅,驱
勳,勋
徑,径
莖,茎
經,经
螢,萤
輕,轻
繼,继
鷄,鸡
藝,艺
擊,击
縣,县
儉,俭
劍,剑
險,险
檢,检
獻,献
權,权
顯,显
驗,验
嚴,严
廣,广
恆,恒
黃,黄
鑛,矿
號,号
國,国
濟,济
齋,斋
劑,剂
雜,杂
參,参
棧,栈
蠶,蚕
慘,惨
贊,赞
殘,残
絲,丝
齒,齿
兒,儿
辭,辞
濕,湿
實,实
寫,写
釋,释
壽,寿
從,从
獸,兽
縱,纵
肅,肃
處,处
緖,绪
敍,叙
將,将
稱,称
燒,烧
證,证
奬,奖
條,条
狀,状
淨,净
疊,叠
繩,绳
孃,娘
讓,让
釀,酿
觸,触
囑,嘱
寢,寝
盡,尽
圖,图
隨,随
樞,枢
數,数
瀨,濑
聲,声
齊,齐
靜,静
竊,窃
攝,摄
絕,绝
專,专
淺,浅
戰,战
踐,践
錢,钱
潛,潜
纖,纤
禪,禅
雙,双
壯,壮
爭,争
莊,庄
裝,装
總,总
騷,骚
臟,脏
屬,属
續,续
墮,堕
對,对
體,体
帶,带
滯,滞
臺,台
瀧,泷
擇,择
澤,泽
擔,担
單,单
膽,胆
團,团
斷,断
彈,弹
遲,迟
癡,痴
蟲,虫
晝,昼
鑄,铸
廳,厅
徵,征
聽,听
遞,递
鐵,铁
點,点
轉,转
傳,传
燈,灯
當,当
黨,党
盜,盗
獨,独
讀,读
屆,届
貳,贰
惱,恼
腦,脑
廢,废
賣,卖
麥,麦
發,发
髮,发
蠻,蛮
祕,秘
濱,滨
竝,并
邊,边
變,变
辯,辩
寶,宝
豐,丰
沒,没
萬,万
滿,满
麵,面
彌,弥
譯,译
藥,药
與,与
餘,余
譽,誉
搖,摇
樣,样
謠,谣
來,来
賴,赖
亂,乱
覽,览
龍,龙
兩,两
獵,猎
綠,绿
淚,泪
壘,垒
禮,礼
勵,励
靈,灵
齡,龄
曆,历
歷,历
戀,恋
鍊,链
爐,炉
勞,劳
樓,楼
錄,录
灣,湾
